kinase_i,kinase_j,PairCTS
MET,FGR,0.42148562913077586
MET,FRK,0.387260569592881
MET,PTK6,0.40962125407066596
MET,SRMS,0.3771528874928447
MET,PTK2,0.5073223221299742
MET,PTK2B,0.3944138711938644
MET,JAK1,0.4143422558465144
MET,JAK2,0.4309412231443682
MET,JAK3,0.4155591767320554
MET,TYK2,0.3945092504591476
MET,ABL1,0.44675928934531767
MET,ABL2,0.38515392610079613
MET,ZAP70,0.39013317827115346
MET,SYK,0.4498461326800446
MET,BTK,0.40853706400562434
MET,ITK,0.3920998446124357
MET,TEC,0.4168058509616431
MET,BMX,0.38659639746619356
MET,TXK,0.41745507300224205
MET,TNK1,0.4319234676428077
MET,TNK2,0.3764114448878473
MET,CSK,0.4349172335647076
MET,MATK,0.36686866215826425
MET,FER,0.3892562564859077
MET,FES,0.4052366855149161
MET,LMTK2,0.4285727863207355
MET,LMTK3,0.4297103596074051
MST1R,ALK,0.17190649611847691
MST1R,LTK,0.11016694901643105
MST1R,STYK1,0.10504921657184088
MST1R,KIT,0.16584158910024666
MST1R,PDGFRA,0.1938132485443543
MST1R,PDGFRB,0.17242059023103082
MST1R,CSF1R,0.14214565252495456
MST1R,FLT3,0.1348879964051346
MST1R,FLT1,0.15584409570220892
MST1R,KDR,0.2003947275461692
MST1R,FLT4,0.15279378077690992
MST1R,TEK,0.12275155147662895
MST1R,TIE1,0.1526322558421332
MST1R,FGFR1,0.20999485564396358
MST1R,FGFR2,0.18555967615842542
MST1R,FGFR3,0.13128575267245096
MST1R,FGFR4,0.14533217386750413
MST1R,INSR,0.12646355601356385
MST1R,IGF1R,0.2544778151689788
MST1R,INSRR,0.14898004046582008
MST1R,NTRK1,0.1673442855942494
MST1R,NTRK2,0.15152051626637492
MST1R,NTRK3,0.14576711053108496
MST1R,AXL,0.15894735458197767
MST1R,MERTK,0.16149202628228826
MST1R,TYRO3,0.17098050875693938
MST1R,DDR1,0.12424238286418864
MST1R,DDR2,0.12750190840372222
MST1R,RET,0.15536027711132872
MST1R,ROR1,0.11245921802717102
MST1R,ROR2,0.11297153992620163
MST1R,MUSK,0.08878040739897836
MST1R,AATK,0.36060618130261446
MST1R,EPHA1,0.3336398485131551
MST1R,EPHA2,0.35684749967224105
MST1R,EPHA3,0.3732175241508634
MST1R,EPHA4,0.33233030249900497
MST1R,EPHA5,0.3967674143948145
MST1R,EPHA6,0.31479478130242705
MST1R,EPHA7,0.33391164588772704
MST1R,EPHA8,0.35379303111766924
MST1R,EPHA10,0.31927435962902484
MST1R,EPHB1,0.35217160184967256
MST1R,EPHB2,0.33889931979359555
MST1R,EPHB3,0.3392672029287076
MST1R,EPHB4,0.3277452295706327
MST1R,EPHB6,0.3187474728693754
MST1R,ROS1,0.3640277198315903
MST1R,RYK,0.34393495901982307
MST1R,PTK7,0.32685802516787094
MST1R,SRC,0.389027411942488
MST1R,YES1,0.3724431009756617
MST1R,FYN,0.3748883304985927
MST1R,LYN,0.36420577402610493
MST1R,LCK,0.35141154425559756
MST1R,HCK,0.35182045178343907
MST1R,BLK,0.29602107114203946
MST1R,FGR,0.3476299345380917
MST1R,FRK,0.31340487500019687
MST1R,PTK6,0.3357655594779818
MST1R,SRMS,0.30329719290016055
MST1R,PTK2,0.43346662753729004
MST1R,PTK2B,0.32055817660118024
MST1R,JAK1,0.34048656125383026
MST1R,JAK2,0.3570855285516841
MST1R,JAK3,0.3417034821393712
MST1R,TYK2,0.32065355586646344
MST1R,ABL1,0.3729035947526335
MST1R,ABL2,0.311298231508112
MST1R,ZAP70,0.3162774836784693
MST1R,SYK,0.37599043808736043
MST1R,BTK,0.3346813694129402
MST1R,ITK,0.3182441500197515
MST1R,TEC,0.34295015636895887
MST1R,BMX,0.31274070287350936
MST1R,TXK,0.3435993784095579
MST1R,TNK1,0.35806777305012355
MST1R,TNK2,0.30255575029516313
MST1R,CSK,0.3610615389720234
MST1R,MATK,0.2930129675655801
MST1R,FER,0.3154005618932236
MST1R,FES,0.33138099092223194
MST1R,LMTK2,0.35471709172805127
MST1R,LMTK3,0.3558546650147209
ALK,LTK,0.24328355482686198
ALK,STYK1,0.18216582238227183
ALK,KIT,0.2987581949106776
ALK,PDGFRA,0.2709298543547852
ALK,PDGFRB,0.24953719604146177
ALK,CSF1R,0.2192622583353855
ALK,FLT3,0.21200460221556555
ALK,FLT1,0.23296070151263987
ALK,KDR,0.27751133335660016
ALK,FLT4,0.22991038658734086
ALK,TEK,0.1998681572870599
ALK,TIE1,0.22974886165256414
ALK,FGFR1,0.28711146145439453
ALK,FGFR2,0.2626762819688564
ALK,FGFR3,0.2084023584828819
ALK,FGFR4,0.22244877967793508
ALK,INSR,0.2035801618239948
ALK,IGF1R,0.2814944209794098
ALK,INSRR,0.22609664627625103
ALK,NTRK1,0.24446089140468036
ALK,NTRK2,0.22863712207680587
ALK,NTRK3,0.2753837163415159
ALK,AXL,0.23606396039240862
ALK,MERTK,0.2386086320927192
ALK,TYRO3,0.24809711456737032
ALK,DDR1,0.2013589886746196
