trial,spearman_rho,top10_overlap,top20_overlap
62,0.9795492412808012,0.7,0.65
63,0.9238379194445095,0.2,0.3
64,0.7869386405935515,0.5,0.5
65,0.9912532606800194,0.8,0.8
66,0.9804120897940842,0.7,0.65
67,0.8991875520015894,0.6,0.55
68,0.908151916781669,0.0,0.1
69,0.9611314265529571,0.6,0.55
70,0.9298365976461193,0.5,0.55
71,0.9613780665119388,0.6,0.55
72,0.9468331405319182,0.3,0.35
73,0.9140059003825154,0.4,0.5
74,0.6456601207211247,0.0,0.1
75,0.912630270920364,0.3,0.4
76,0.8814616726894379,0.6,0.55
77,0.9208986727192565,0.4,0.4
78,0.9321317363192752,0.4,0.5
79,0.7116060965629311,0.2,0.35
80,0.9173501218910634,0.4,0.35
81,0.8973074636568162,0.2,0.2
82,0.9094940760369583,0.0,0.1
83,0.9852189937881626,0.7,0.7
84,0.8876879164672195,0.6,0.5
85,0.8603166749537082,0.1,0.25
86,0.9795119654252304,0.7,0.65
87,0.9304059655072463,0.3,0.45
88,0.7551918469581301,0.0,0.15
89,0.9267307842540501,0.4,0.35
90,0.9825797008483653,0.7,0.55
91,0.8366579957165989,0.6,0.65
92,0.9372414980704794,0.3,0.4
93,0.7085231471376973,0.5,0.4
94,0.9516789294650593,0.6,0.45
95,0.9694262857641387,0.6,0.55
96,0.9710646945878368,0.7,0.65
97,0.9404988094566089,0.3,0.4
98,0.9489762957213466,0.3,0.45
99,0.9883602581998808,0.7,0.7
100,0.6664469655000712,0.2,0.2
101,0.9106627085080754,0.3,0.4
102,0.9388521323646726,0.5,0.45
103,0.956690298394596,0.6,0.5
104,0.8599299291025746,0.0,0.1
105,0.9460441949780974,0.4,0.45
106,0.9889526340495953,0.7,0.7
107,0.8625499593665323,0.4,0.45
108,0.8924222400362124,0.7,0.65
109,0.9279722792161998,0.6,0.55
110,0.7883807815797472,0.6,0.65
111,0.980079531053071,0.7,0.65
112,0.9273570937580542,0.4,0.35
113,0.9382867132400136,0.4,0.35
114,0.9435229854914934,0.5,0.45
115,0.9157713380727174,0.2,0.15
116,0.9739129989552109,0.6,0.5
117,0.8892379039674949,0.2,0.3
118,0.9459869669729039,0.3,0.45
119,0.9584199874949144,0.6,0.55
120,0.9399992030422788,0.4,0.3
121,0.9117448094976186,0.6,0.65
122,0.9451587976272859,0.6,0.45
123,0.7910461865411464,0.3,0.3
124,0.8976716468473216,0.7,0.65
125,0.9342448987453391,0.7,0.6
126,0.9506628589930604,0.6,0.55
127,0.9333316967904413,0.7,0.65
128,0.9189237674391965,0.2,0.3
129,0.8754910083063919,0.3,0.3
130,0.9283538959502542,0.2,0.3
131,0.955146609370891,0.6,0.45
132,0.9666518593252089,0.6,0.6
133,0.974154732647892,0.7,0.65
134,0.9420483906698406,0.4,0.45
135,0.9596778712358153,0.5,0.55
136,0.993215019445337,0.8,0.85
137,0.9739362899437395,0.6,0.5
138,0.9478250698947744,0.5,0.45
139,0.8507360536120767,0.6,0.5
140,0.9616775460156457,0.6,0.55
141,0.9492623619618522,0.5,0.45
142,0.8232402058236341,0.1,0.2
143,0.9882256456821575,0.8,0.8
144,0.8669399553197451,0.2,0.3
145,0.8788490398384546,0.3,0.4
146,0.9281619276570671,0.6,0.45
147,0.8431464134415326,0.7,0.65
148,0.9103288931726051,0.1,0.15
149,0.9561124416560363,0.4,0.4
150,0.9917934537690298,0.8,0.8
151,0.9538489250039902,0.6,0.5
152,0.9652823852518693,0.6,0.6
153,0.8950464615012738,0.0,0.05
154,0.9062117771570447,0.6,0.55
155,0.85842472956521,0.2,0.15
156,0.9324706960893131,0.4,0.5
157,0.9085127559029066,0.0,0.1
158,0.932856899850791,0.5,0.4
159,0.9371120505351743,0.3,0.4
160,0.8674979234202197,0.4,0.45
161,0.9278593392635813,0.3,0.35
162,0.9938687321231483,0.9,0.9
163,0.9870823318988151,0.7,0.8
164,0.9496603818581526,0.4,0.35
165,0.9636811510388785,0.6,0.55
166,0.7129739690247244,0.3,0.4
167,0.8546412768310261,0.3,0.2
168,0.9455596039989115,0.6,0.55
169,0.9247339471323719,0.4,0.35
170,0.9806570726623233,0.7,0.65
171,0.9540449825062234,0.6,0.45
172,0.9959175155184512,0.8,0.95
173,0.989442231792751,0.8,0.9
174,0.9722897624775146,0.7,0.65
175,0.9808417244263475,0.7,0.6
176,0.8706985412320667,0.1,0.15
177,0.9441805878774022,0.4,0.45
178,0.9578190275004604,0.4,0.4
179,0.9513418692503999,0.4,0.35
180,0.9922404216339719,0.7,0.85
181,0.9688248612014648,0.6,0.55
182,0.9755838896341626,0.5,0.5
183,0.9749470964300405,0.7,0.65
184,0.9879675420773887,0.7,0.9
185,0.965661228960101,0.4,0.5
186,0.9931021596293352,0.7,0.75
187,0.9629688691416325,0.6,0.5
188,0.9296227953938019,0.5,0.45
189,0.9617439092215692,0.6,0.6
190,0.8857178438547958,0.3,0.3
191,0.9281490527475483,0.6,0.45
192,0.7245664459119557,0.2,0.3
193,0.9858791736217171,0.7,0.6
194,0.9720187994675141,0.6,0.55
195,0.9886742928668805,0.7,0.65
196,0.8567556896871913,0.6,0.5
197,0.9373603449697174,0.3,0.4
198,0.6927110277461156,0.3,0.35
199,0.8735510601503748,0.3,0.35
200,0.9801540889285677,0.7,0.55
201,0.9706061904124361,0.7,0.6
202,0.8948942413436686,0.7,0.65
203,0.9289349594610803,0.2,0.3
204,0.9006250732705995,0.3,0.35
205,0.9778207179908002,0.6,0.55
206,0.9454724136785315,0.3,0.4
207,0.9408908970016747,0.4,0.45
208,0.9747301363467004,0.5,0.5
209,0.9681474822566558,0.6,0.6
210,0.8919702990310562,0.5,0.5
211,0.9572735149465559,0.6,0.5
212,0.8093022624130458,0.0,0.1
213,0.51591112229761,0.1,0.25
214,0.7301994028230516,0.6,0.55
215,0.9807626097848069,0.7,0.65
216,0.939556976874035,0.6,0.5
217,0.9470079713574024,0.3,0.45
218,0.9382208549508163,0.6,0.75
219,0.9777533232827819,0.7,0.65
220,0.988425651173664,0.7,0.75
221,0.8072367030054096,0.0,0.05
222,0.9470966502761506,0.5,0.4
223,0.9887902970644027,0.8,0.8
224,0.956157862119145,0.4,0.35
225,0.96282332647504,0.6,0.55
226,0.7734894567606174,0.5,0.5
227,0.8438664997859913,0.1,0.1
228,0.945397054250067,0.4,0.45
229,0.954121846971337,0.4,0.5
230,0.9180583276551684,0.5,0.5
231,0.7758351280152848,0.0,0.1
232,0.8376136190824273,0.5,0.4
233,0.9217959594299578,0.2,0.25
234,0.9941517016157864,0.7,0.8
235,0.6389751007891215,0.1,0.05
236,0.9445502382905269,0.5,0.5
237,0.8767448368355997,0.1,0.25
238,0.9706550229395177,0.5,0.45
239,0.9881993593774239,0.8,0.85
240,0.685826241985262,0.1,0.05
241,0.8158062696053464,0.3,0.35
242,0.9802960459952501,0.7,0.6
243,0.9443227450054289,0.8,0.75
244,0.9636264054008226,0.4,0.3
245,0.9460117291875273,0.5,0.45
246,0.9168750184148436,0.4,0.4
247,0.9613290406482642,0.5,0.45
248,0.9657127670786957,0.6,0.55
249,0.9066496070192773,0.1,0.15
250,0.977287997781415,0.7,0.65
251,0.8323956110680519,0.6,0.5
252,0.9856516353181468,0.7,0.65
253,0.9852171086162795,0.7,0.65
254,0.9187212235409603,0.1,0.15
255,0.9558198299911572,0.6,0.6
256,0.9652782769893622,0.6,0.6
257,0.9472177901287048,0.3,0.15
258,0.9414015809490014,0.4,0.45
259,0.9982625036504892,0.8,0.95
260,0.6853990303181685,0.5,0.45
261,0.9612425054307175,0.4,0.4
262,0.9246852972943614,0.4,0.45
263,0.8357118938510897,0.2,0.35
264,0.9386454940270287,0.3,0.35
265,0.9798322034882924,0.7,0.65
266,0.9685975840423945,0.5,0.5
267,0.9363590063725256,0.4,0.35
268,0.950322500661599,0.4,0.25
269,0.8996452744246785,0.5,0.4
270,0.8309314403577504,0.4,0.4
271,0.9432038790545975,0.5,0.5
272,0.8677215843444029,0.2,0.25
273,0.7548704839936532,0.0,0.05
274,0.9623161763844,0.4,0.5
275,0.8991182136537138,0.2,0.3
276,0.9216550116363318,0.2,0.25
277,0.921535668973501,0.4,0.4
278,0.7968201568121913,0.1,0.15
279,0.9117184419354759,0.4,0.4
280,0.7925363138565806,0.3,0.3
281,0.8051247697144023,0.1,0.15
282,0.9901975580743947,0.8,0.9
283,0.9952971372448898,0.9,0.95
284,0.9938738748765281,0.8,0.8
285,0.9497396433234251,0.4,0.45
286,0.9334348557794288,0.5,0.5
287,0.9661336912903384,0.7,0.85
288,0.9008123482479365,0.0,0.05
289,0.9865495948775524,0.7,0.65
290,0.9755835416282949,0.8,0.75
291,0.8646523097004678,0.1,0.15
292,0.9330304867841261,0.3,0.2
293,0.8219824631157071,0.1,0.1
294,0.873461990822467,0.5,0.55
295,0.7325836097033235,0.3,0.4
296,0.899375961407072,0.4,0.5
297,0.9650432392807594,0.6,0.6
298,0.6675727514065514,0.1,0.15
299,0.9094411343133767,0.2,0.2
300,0.9659409584303142,0.6,0.6
301,0.969100268337929,0.4,0.5
302,0.982750595639689,0.7,0.75
303,0.9749838882903332,0.6,0.5
304,0.9479725552672312,0.5,0.45
305,0.8258629160876914,0.5,0.5
306,0.9033143486699108,0.4,0.45
307,0.922218224669043,0.6,0.7
308,0.8921273873480395,0.4,0.35
309,0.9949210744080239,0.8,0.9
310,0.983272788064477,0.8,0.65
311,0.940591849002828,0.6,0.45
312,0.9893963527389794,0.7,0.7
313,0.9384410412334817,0.5,0.4
314,0.9611266172351511,0.4,0.5
315,0.9681011182736124,0.6,0.65
316,0.9546320218923674,0.4,0.4
317,0.9957855179949007,0.7,0.8
318,0.9806154910980818,0.7,0.65
319,0.9839160639286294,0.8,0.8
320,0.9580548604108771,0.6,0.5
321,0.9558840530450532,0.4,0.4
322,0.9878925465326762,0.7,0.7
323,0.9461476651736208,0.6,0.55
324,0.9653346419848352,0.6,0.55
325,0.9143415534430138,0.1,0.15
326,0.9815197724838883,0.7,0.55
327,0.8475966969748769,0.3,0.45
328,0.9709904953657302,0.5,0.5
329,0.9047852134963041,0.6,0.5
330,0.9494725782406622,0.6,0.5
331,0.6817714877619404,0.0,0.05
332,0.9422462218251682,0.3,0.4
333,0.8355103562371313,0.4,0.5
334,0.936516810688699,0.4,0.35
335,0.9739780648445742,0.7,0.65
336,0.989970259059883,0.8,0.85
337,0.9350068236889691,0.2,0.4
338,0.9375402008654377,0.4,0.35
339,0.9350331471666323,0.2,0.2
340,0.7448569528791892,0.3,0.35
