trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
165,0.9710910812034407,0.9,0.9,0.2400688574004195,0.2026028733422251,0.3571793973512861,0.20014887190606928
166,0.9085319175206815,0.9,0.75,0.3790177546038788,0.17419655520165958,0.09986307236224365,0.3469226178322179
167,0.8833930114828992,0.8,0.8,0.1220021596034771,0.39270030316413773,0.16465388213664547,0.3206436550957397
168,0.9715849693377783,0.9,0.85,0.38172614600078275,0.23936538568189217,0.1619506789555276,0.2169577893617975
169,0.8691854961517882,0.8,0.7,0.15763632015430215,0.5073148913318695,0.14186580911328098,0.19318297940054738
170,0.9958678026093756,1.0,1.0,0.28709960829576314,0.2622173563372737,0.27550761664356693,0.1751754187233962
171,0.960423097501749,0.8,0.9,0.1769281271957764,0.2966079375146324,0.2901224348262739,0.23634150046331717
172,0.9720623945343047,1.0,0.85,0.34149716948174985,0.2953354797523284,0.2800698172473265,0.08309753351859511
173,0.9156109807795201,0.8,0.8,0.27500172038942666,0.2530430721293694,0.43149633062900916,0.040458876852194826
174,0.9823188047907149,1.0,0.9,0.2911272153021233,0.3284052626775289,0.18134789485945155,0.19911962716089632
175,0.976589702432399,0.9,0.9,0.30193323216580276,0.20049790087177005,0.3478988136554573,0.14967005330697
176,0.9032967032967032,0.8,0.85,0.13754285892572438,0.24616893932872078,0.2265994714511909,0.38968873029436396
177,0.9573774540066674,0.8,0.9,0.1982956706880299,0.1869630274125338,0.36117283489858915,0.2535684670008471
178,0.9378030209490884,0.8,0.8,0.1594150417501006,0.373577285033313,0.2465061058570013,0.22050156735958512
179,0.9753220562209326,0.9,0.85,0.33880032756747636,0.11952197327997861,0.2805916453426409,0.2610860538099041
180,0.9273819813145656,0.9,0.8,0.2897894073578818,0.1926408543042307,0.4433849515238406,0.07418478681404683
181,0.9878009630818618,1.0,0.95,0.2803958370116329,0.20440042302690126,0.3170619702756775,0.1981417696857884
182,0.979520105362802,0.9,0.85,0.3987893429983981,0.15912195288208755,0.2663688384536774,0.17571986566583694
183,0.9839815615096514,1.0,0.95,0.2452279426868495,0.26968179997227243,0.3038506463658407,0.1812396109750374
184,0.9646705354570522,0.9,0.7,0.3930561131093144,0.326012562274509,0.15784284849130628,0.12308847612487053
185,0.9399432028645511,0.8,0.65,0.4920828350000217,0.08407059621350328,0.28205447193619804,0.14179209685027697
186,0.9826151376713174,1.0,0.75,0.3928861312262362,0.2502793547385187,0.22621910287042574,0.13061541116481934
187,0.9364859859241881,0.8,0.8,0.15563728451735548,0.3449444578641155,0.3145815102566419,0.18483674736188718
188,0.9695764909248055,0.9,0.9,0.2367470836022118,0.2307099813932694,0.22665781170304516,0.30588512330147366
189,0.990023459686381,1.0,0.95,0.2607063431248012,0.2805295331776155,0.22013368254799465,0.2386304411495887
190,0.9241058566901262,0.7,0.85,0.28695396970444736,0.07446320460142429,0.24753419021034892,0.39104863548377955
191,0.9501996131209612,0.9,0.9,0.19312309434441635,0.3348837600299438,0.19478479365667337,0.2772083519689665
192,0.8884965222043872,0.8,0.8,0.27388602106112564,0.1314221780982764,0.14725235677733578,0.44743944406326225
193,0.99171914228094,1.0,0.85,0.3639539207136389,0.2404338396390297,0.22584000266111265,0.16977223698621882
194,0.9931020290570851,1.0,0.85,0.34404828761483625,0.20184451170457313,0.24199790653610426,0.21210929414448632
